,title,year,critic_score,people_score,type,genre,rating,original_language,box_office_(gross_usa),runtime,director,producer,writer,crew,original_language,Origin/Ethnicity,color
20,The 39 Steps,1935,96,86.0,Action & Adventure,mystery and thriller,,English (United Kingdom),,1h 20m,Alfred Hitchcock,"['Michael Balcon', ' Ivor Montagu']","['John Buchan', ' Charles Bennett', ' Ian Hay']","['Robert Donat', ' Madeleine Carroll', ' Godfrey Tearle', ' Lucie Mannheim', ' Peggy Ashcroft', ' Wylie Watson', ' John Laurie', ' Helen Haye', ' Alfred Hitchcock', ' Charles Bennett', ' Michael Balcon', ' Ivor Montagu', ' Jack Beaver', ' Bernard Knowles', ' D. N. Twist']",English (United Kingdom),British,red
21,Captain America: Civil War,2016,90,89.0,Action & Adventure,"adventure, fantasy, action",PG-13 (Extended Sequences of Violence|Action and Mayhem),English,$408.1M,2h 26m,"Anthony Russo, Joe Russo",['Kevin Feige'],"['Christopher Markus', ' Stephen McFeely']","['Chris Evans', ' Robert Downey Jr.', ' Scarlett Johansson', ' Sebastian Stan', ' Anthony Mackie', ' Don Cheadle', ' Jeremy Renner', ' Chadwick Boseman', ' Paul Bettany', ' Elizabeth Olsen', ' Anthony Russo', ' Joe Russo', ' Christopher Markus', ' Stephen McFeely', ' Kevin Feige', "" Louis D'Esposito"", ' Victoria Alonso', ' Patricia Whitcher', ' Nate Moore', ' Stan Lee']",English,American,red
22,The Jungle Book,2016,94,86.0,Action & Adventure,"kids and family, action, adventure, fantasy",PG (Some Sequences of Scary Action|Peril),English,$364.0M,1h 45m,Jon Favreau,"['Jon Favreau', ' Brigham Taylor']",['Justin Marks'],"['Neel Sethi', ' Bill Murray', ' Ben Kingsley', ' Idris Elba', "" Lupita Nyong'o"", ' Scarlett Johansson', ' Giancarlo Esposito', ' Christopher Walken', ' Garry Shandling', ' Jon Favreau', ' Justin Marks', ' Jon Favreau', ' Brigham Taylor', ' Peter Tobyansen', ' Molly Allen', ' Karen Gilchrist', ' Bill Pope', ' Mark Livolsi', ' John Debney']",English,American,red
23,Harry Potter and the Deathly Hallows: Part 2,2011,96,89.0,Action & Adventure,"fantasy, adventure",PG-13 (Seq of Intense Action Violence|Frightening Images),English,$381.0M,2h 11m,David Yates,"['David Heyman', ' David Barron', ' J.K. Rowling']",['Steve Kloves'],"['Daniel Radcliffe', ' Rupert Grint', ' Emma Watson', ' Ralph Fiennes', ' Alan Rickman', ' Robbie Coltrane', ' Helena Bonham Carter', ' Jim Broadbent', ' Gary Oldman', ' Maggie Smith', ' Steve Kloves', ' David Heyman', ' David Barron', ' J.K. Rowling', ' Lionel Wigram', ' Eduardo Serra', ' Alexandre Desplat']",English,American,red
24,Skyfall,2012,92,86.0,Action & Adventure,"mystery and thriller, adventure, action",PG-13 (Language|Intense Violent Sequences|Smoking|Some Sexuality),English,$304.4M,2h 23m,Sam Mendes,"['Michael G. Wilson', ' Barbara Broccoli']","['Neal Purvis', ' Robert Wade', ' John Logan']","['Daniel Craig', ' Judi Dench', ' Javier Bardem', ' Ralph Fiennes', ' Naomie Harris', ' Ben Whishaw', ' Albert Finney', ' Rory Kinnear', ' Ola Rapace', ' Sam Mendes', ' Neal Purvis', ' Robert Wade', ' John Logan', ' Michael G. Wilson', ' Barbara Broccoli', ' Callum McDougall', ' Roger Deakins', ' Dennis Gassner', ' Stuart Baird']",English,British,red
25,Lawrence of Arabia,1962,97,93.0,Action & Adventure,"drama, history, adventure, biography",PG,English,$6.0M,3h 36m,David Lean,"['Robert A. Harris', ' Sam Spiegel']","['Robert Bolt', ' Michael Wilson']","[""Peter O'Toole"", ' Alec Guinness', ' Anthony Quinn', ' Omar Sharif', ' Jack Hawkins', ' Jose Ferrer', ' Claude Rains', ' Anthony Quayle', ' Arthur Kennedy', ' Donald Wolfit', ' David Lean', ' Robert Bolt', ' Michael Wilson', ' Robert A. Harris', ' Sam Spiegel', ' Maurice Jarre', ' F.A. Young', ' Anne V. Coates', ' Maude Spector', ' John Box']",English,American,red
26,Apocalypse Now,1979,98,94.0,Action & Adventure,"drama, war",R,English,$78.8M,2h 33m,Francis Ford Coppola,"['Kim Aubry', ' Francis Ford Coppola']","['Joseph Conrad', ' John Milius', ' Francis Ford Coppola', ' Michael Herr']","['Marlon Brando', ' Martin Sheen', ' Robert Duvall', ' Frederic Forrest', ' Albert Hall', ' Sam Bottoms', ' Larry Fishburne', ' Dennis Hopper', ' G.D. Spradlin', ' Harrison Ford', ' Francis Ford Coppola', ' Joseph Conrad', ' John Milius', ' Francis Ford Coppola', ' Michael Herr', ' Kim Aubry', ' Francis Ford Coppola', ' Carmine Coppola', ' Francis Ford Coppola', ' Vittorio Storaro']",English,American,red
27,The Hurt Locker,2008,97,84.0,Action & Adventure,"action, mystery and thriller, drama, war",R (War Violence|Language),English,$15.7M,2h 7m,Kathryn Bigelow,"['Kathryn Bigelow', ' Mark Boal', ' Nicolas Chartier']",['Mark Boal'],"['Jeremy Renner', ' Anthony Mackie', ' Brian Geraghty', ' Guy Pearce', ' Ralph Fiennes', ' David Morse', ' Evangeline Lilly', ' Christian Camargo', ' Christopher Sayegh', ' Suhail Aldabbach', ' Kathryn Bigelow', ' Mark Boal', ' Kathryn Bigelow', ' Mark Boal', ' Nicolas Chartier', ' Marco Beltrami', ' Buck Sanders', ' Barry Ackroyd', ' Chris Innis']",English,American,red
28,Star Trek,2009,94,91.0,Action & Adventure,"adventure, action, sci fi, fantasy",PG-13 (Sci-Fi Action|Brief Sexual Content|Violence),English,$257.7M,2h 6m,J.J. Abrams,"['J.J. Abrams', ' Damon Lindelof']","['Roberto Orci', ' Alex Kurtzman']","['Chris Pine', ' Zachary Quinto', ' Leonard Nimoy', ' Eric Bana', ' Bruce Greenwood', ' Karl Urban', ' Zoe Saldana', ' Simon Pegg', ' John Cho', ' Anton Yelchin', ' J.J. Abrams', ' Roberto Orci', ' Alex Kurtzman', ' J.J. Abrams', ' Damon Lindelof', ' Bryan Burk', ' Jeffrey Chernov', ' Roberto Orci', ' Alex Kurtzman', ' Michael Giacchino']",English,American,red
29,Stagecoach,1939,100,86.0,Action & Adventure,western,,English,,1h 36m,John Ford,['John Ford'],"['Ernest Haycox', ' Dudley Nichols', ' Ben Hecht']","['John Wayne', ' Claire Trevor', ' Andy Devine', ' John Carradine', ' Louise Platt', ' George Bancroft', ' Donald Meek', ' Berton Churchill', ' Tim Holt', ' Ernest Haycox', ' Dudley Nichols', ' Ben Hecht', ' Walter Wanger', ' Bert Glennon', ' Otho Lovering', ' Dorothy Spencer']",English,American,red
30,Goldfinger,1964,99,89.0,Action & Adventure,action,PG,English,,1h 52m,Guy Hamilton,"['Albert R. Broccoli', ' Harry Saltzman']","['Richard Maibaum', ' Paul Dehn']","['Sean Connery', ' Gert Frobe', ' Honor Blackman', ' Shirley Eaton', ' Bernard Lee', ' Lois Maxwell', ' Harold Sakata', ' Tania Mallet', ' Guy Hamilton', ' Ian Fleming', ' Richard Maibaum', ' Paul Dehn', ' Albert R. Broccoli', ' Harry Saltzman', ' Ted Moore', ' Peter R. Hunt', ' Ken Adam']",English,British,red
31,Guardians of the Galaxy,2014,92,92.0,Action & Adventure,"comedy, fantasy, sci fi, action, adventure",PG-13 (Some Language|Intense Sci-Fi Action/Violence),English,$333.7M,2h 1m,James Gunn,['Kevin Feige'],"['James Gunn', ' Nicole Perlman']","['Chris Pratt', ' Zoe Saldana', ' Dave Bautista', ' Vin Diesel', ' Bradley Cooper', ' Lee Pace', ' Michael Rooker', ' Karen Gillan', ' Djimon Hounsou', ' Benicio Del Toro', ' James Gunn', ' James Gunn', ' Nicole Perlman', ' Kevin Feige', "" Louis D'Esposito"", ' Victoria Alonso', ' Jeremy Latcham', ' Alan Fine', ' Stan Lee', ' Nikolas Korda']",English,American,red
32,Kubo and the Two Strings,2016,97,86.0,Action & Adventure,"fantasy, animation, action, kids and family, adventure",PG (Scary Images|Action and Peril|Thematic Elements),English,$48.0M,1h 42m,Travis Knight,"['Arianne Sutner', ' Travis Knight']","['Marc Haimes', ' Chris Butler']","['Charlize Theron', ' Art Parkinson', ' Ralph Fiennes', ' George Takei', ' Cary-Hiroyuki Tagawa', ' Brenda Vaccaro', ' Rooney Mara', ' Matthew McConaughey', ' Travis Knight', ' Marc Haimes', ' Chris Butler', ' Arianne Sutner', ' Travis Knight', ' Frank Passingham', ' Christopher Murrie']",English,American,red
33,WALL-E,2008,95,90.0,Action & Adventure,"sci fi, comedy, adventure, animation, kids and family",G,English,,1h 37m,Andrew Stanton,['Jim Morris'],"['Andrew Stanton', ' Jim Reardon']","['Ben Burtt', ' Elissa Knight', ' Jeff Garlin', ' Fred Willard', ' John Ratzenberger', ' Kathy Najimy', ' Sigourney Weaver', ' Bob Bergen', ' Andrew Stanton', ' Andrew Stanton', ' Jim Reardon', ' Jim Morris', ' Thomas Newman', ' Thomas Newman', ' John Lasseter', ' Ralph Eggleston', ' Jeremy Lasky']",English,American,red
34,Iron Man,2008,94,91.0,Action & Adventure,"sci fi, adventure, action, fantasy",PG-13 (Intense Sci-Fi Action/Violence|Brief Suggestive Content),English,$318.3M,2h 6m,Jon Favreau,"['Avi Arad', ' Kevin Feige']","['Mark Fergus', ' Hawk Ostby', ' Art Marcum', ' Matt Holloway']","['Robert Downey Jr.', ' Terrence Howard', ' Gwyneth Paltrow', ' Jeff Bridges', ' Shaun Toub', ' Faran Tahir', ' Leslie Bibb', ' Sayed Badreya', ' Clark Gregg', ' Bill Smitrovich', ' Jon Favreau', ' Mark Fergus', ' Hawk Ostby', ' Art Marcum', ' Matt Holloway', ' Avi Arad', ' Kevin Feige', "" Louis D'Esposito"", ' Peter Billingsley', ' Jon Favreau']",English,American,red
35,The Terminator,1984,100,89.0,Action & Adventure,"mystery and thriller, sci fi, action",R,English,,1h 48m,James Cameron,['Gale Anne Hurd'],,"['Arnold Schwarzenegger', ' Linda Hamilton', ' Michael Biehn', ' Paul Winfield', ' Lance Henriksen', ' Rick Rossovich', ' Bess Motta', ' Earl Boen', ' Dick Miller', ' Shawn Schepps', ' James Cameron', ' John Daly', ' Derek Gibson', ' Gale Anne Hurd', ' Joe Dolce', ' Tane McClure', ' Adam Greenberg', ' Mark Goldblatt', ' Stanzi Stokes']",English,American,red
36,The African Queen,1951,98,86.0,Action & Adventure,adventure,PG (Thematic Elements|Some Violence|Smoking),English,,1h 45m,John Huston,['S.P. Spiegel'],,"['Humphrey Bogart', ' Katharine Hepburn', ' Robert Morley', ' Peter Bull', ' Theodore Bikel', ' Walter Gotell', ' John Huston', ' C.S. Forester', ' James Agee', ' John Huston', ' Jack Cardiff', ' Ralph Kemplen', ' Wilfred Shingleton']",English,American,red
37,Rio Bravo,1959,100,91.0,Action & Adventure,western,,English,,2h 21m,Howard Hawks,['Howard Hawks'],"['B.H. McCampbell', ' Jules Furthman', ' Leigh Brackett']","['John Wayne', ' Dean Martin', ' Ricky Nelson', ' Angie Dickinson', ' Walter Brennan', ' Ward Bond', ' Pedro Gonzalez Gonzalez', ' Estelita Rodriguez', ' Claude Akins', ' Howard Hawks', ' B.H. McCampbell', ' Jules Furthman', ' Leigh Brackett', ' Howard Hawks', ' Dimitri Tiomkin', ' Russell Harlan', ' Folmar Blangsted', ' Leo K. Kuter']",English,American,red
38,The French Connection,1971,98,87.0,Action & Adventure,"crime, drama, mystery and thriller",R,English,,1h 44m,William Friedkin,,,"['Gene Hackman', ' Fernando Rey', ' Roy Scheider', ' Tony Lo Bianco', ' Marcel Bozzuffi', ' Frédéric de Pasquale', ' Bill Hickman', ' Ann Rebbot', ' Harold Gary', ' Arlene Farber', ' William Friedkin', ' G. David Schine', ' Kenneth Utt', ' Owen Roizman', ' Robert Weiner', ' Ben Kazaskow', ' William C. Gerrity', ' Terence A. Donnelly']",English,American,red
39,The Taking of Pelham One Two Three,1974,100,88.0,Action & Adventure,"mystery and thriller, crime, action, drama",R,English,,1h 44m,Joseph Sargent,"['Gabriel Katzka', ' Edgar J. Scherick']",['Peter Stone'],"['Walter Matthau', ' Robert Shaw', ' Martin Balsam', ' Héctor Elizondo', ' Earl Hindman', ' James Broderick', "" Dick O'Neill"", ' Lee Wallace', ' Tom Pedi', ' Beatrice Winde', ' Joseph Sargent', ' Gabriel Katzka', ' Edgar J. Scherick', ' John Godey', ' Peter Stone']",English,American,red
40,Aliens,1986,97,94.0,Action & Adventure,"action, horror, sci fi",R,English,$77.6M,2h 17m,James Cameron,['Gale Anne Hurd'],,"['Sigourney Weaver', ' Carrie Henn', ' Michael Biehn', ' Paul Reiser', ' Lance Henriksen', ' Bill Paxton', ' William Hope', ' Jenette Goldstein', ' Al Matthews', ' Mark Rolston', ' James Cameron', ' James Cameron', ' David Giler', ' Gordon Carroll', ' David Giler', ' Gale Anne Hurd', ' James Horner', ' Adrian Biddle', ' Ray Lovejoy', ' Peter Lamont']",English,American,red
41,The Empire Strikes Back,1980,94,97.0,Action & Adventure,"action, sci fi, adventure, fantasy",PG (Sci-Fi Action Violence),English,$291.9M,2h 4m,Irvin Kershner,['Gary Kurtz'],"['Lawrence Kasdan', ' Leigh Brackett']","['Mark Hamill', ' Harrison Ford', ' Carrie Fisher', ' Billy Dee Williams', ' Anthony Daniels', ' David Prowse', ' James Earl Jones', ' Peter Mayhew', ' Kenny Baker', ' Frank Oz', ' Irvin Kershner', ' George Lucas', ' Lawrence Kasdan', ' Leigh Brackett', ' Jim Bloom', ' Gary Kurtz', ' George Lucas', ' Robert Watts', ' Peter Suschitzky']",English,American,red
42,Paths of Glory,1957,95,95.0,Action & Adventure,"drama, war",,English,,1h 26m,Stanley Kubrick,"['Kirk Douglas', ' James B. Harris']","['Humphrey Cobb', ' Stanley Kubrick', ' Calder Willingham', ' Jim Thompson']","['Kirk Douglas', ' Ralph Meeker', ' Adolphe Menjou', ' George Macready', ' Richard Anderson', ' Timothy Carey', ' Christiane Kubrick', ' Bert Freed', ' Stanley Kubrick', ' Humphrey Cobb', ' Stanley Kubrick', ' Calder Willingham', ' Jim Thompson', ' Kirk Douglas', ' James B. Harris', ' Gerald Fried', ' Georg Krause', ' Eva Kroll']",English,American,red
