,title,year,critic_score,people_score,type,genre,rating,original_language,box_office_(gross_usa),runtime,director,producer,writer,crew,original_language,Origin/Ethnicity,color
250,Enough Said,2013,95,75.0,Comedy,romance,PG-13 (Sexual Content|Brief Language|Some Thematic Material),English,$17.5M,1h 33m,Nicole Holofcener,"['Anthony Bregman', ' Stefanie Azpiazu']",['Nicole Holofcener'],"['Julia Louis-Dreyfus', ' James Gandolfini', ' Catherine Keener', ' Toni Collette', ' Tavi Gevinson', ' Ben Falcone', ' Tracey Fairaway', ' Eve Hewson', ' Michaela Watkins', ' Phillip Brock', ' Nicole Holofcener', ' Nicole Holofcener', ' Anthony Bregman', ' Stefanie Azpiazu', ' Chrisann Verges', ' Keith Cunningham', ' Robert Frazen', ' Marcelo Zarvos']",English,American,red
251,The Apartment,1960,93,94.0,Comedy,"comedy, drama",,English,,2h 5m,Billy Wilder,['Billy Wilder'],"['Billy Wilder', ' I.A.L. Diamond']","['Jack Lemmon', ' Shirley MacLaine', ' Fred MacMurray', ' Ray Walston', ' Jack Kruschen', ' Joan Shawlee', ' Edie Adams', ' Hope Holiday', ' Naomi Stevens', ' Billy Wilder', ' Billy Wilder', ' I.A.L. Diamond', ' Billy Wilder', ' Daniel Mandell', ' Adolph Deutsch']",English,American,red
252,Bull Durham,1988,97,82.0,Comedy,romance,R,English,$49.9M,1h 48m,Ron Shelton,"['Thom Mount', ' Mark Burg']",,"['Kevin Costner', ' Susan Sarandon', ' Tim Robbins', ' Trey Wilson', ' Robert Wuhl', ' Jenny Robertson', ' Max Patkin', ' David Neidorf', ' Ron Shelton', ' David V. Lester', ' Thom Mount', ' Mark Burg', ' Michael Convertino', ' Bobby Byrne', ' Bonnie Timmermann', ' Armin Ganz']",English,American,red
253,The Muppets,2011,95,80.0,Comedy,"kids and family, comedy",PG (Some Mild Rude Humor),English,$88.6M,1h 38m,James Bobin,"['David Hoberman', ' Todd Lieberman']","['Jason Segel', ' Nicholas Stoller']","['Jason Segel', ' Amy Adams', ' Chris Cooper', ' Rashida Jones', ' Alan Arkin', ' James Carville', ' Donald Glover', ' Leslie Feist', ' Ken Jeong', ' Judd Hirsch', ' James Bobin', ' Jason Segel', ' Nicholas Stoller', ' David Hoberman', ' Todd Lieberman', ' Jason Segel', ' Nicholas Stoller', ' John G. Scotti', ' Martin G. Baker', ' Christophe Beck']",English,American,red
254,Broadcast News,1987,98,79.0,Comedy,romance,R,English,$49.2M,2h 12m,James L. Brooks,['James L. Brooks'],['James L. Brooks'],"['William Hurt', ' Albert Brooks', ' Holly Hunter', ' Robert Prosky', ' Lois Chiles', ' Joan Cusack', ' Peter Hackes', ' Christian Clemenson', ' Robert Katims', ' Ed Wheeler', ' James L. Brooks', ' James L. Brooks', ' James L. Brooks', ' Polly Platt', ' Michael Ballhaus', ' Richard Marks', ' Bill Conti']",English,American,red
255,Silver Linings Playbook,2012,92,86.0,Comedy,"comedy, drama, romance",R (Some Sexual Content/Nudity|Language),English,$132.1M,2h 2m,David O. Russell,"['Donna Gigliotti', ' Bruce Cohen', ' Jonathan Gordon']",['David O. Russell'],"['Bradley Cooper', ' Jennifer Lawrence', ' Robert De Niro', ' Jacki Weaver', ' Chris Tucker', ' Anupam Kher', ' Julia Stiles', ' John Ortiz', ' Shea Whigham', ' Dash Mihok', ' David O. Russell', ' David O. Russell', ' Donna Gigliotti', ' Bruce Cohen', ' Jonathan Gordon', ' Bob Weinstein', ' Harvey Weinstein', ' George Para', ' Michelle Raimo', ' Bradley Cooper']",English,American,red
256,Lost in Translation,2003,95,85.0,Comedy,"drama, comedy",R (Some Sexual Content),English,$44.6M,1h 42m,Sofia Coppola,"['Sofia Coppola', ' Ross Katz']",['Sofia Coppola'],"['Bill Murray', ' Scarlett Johansson', ' Giovanni Ribisi', ' Anna Faris', ' Fumihiro Hayashi', ' Catherine Lambert', ' Gregory Pekar', ' Sofia Coppola', ' Sofia Coppola', ' Sofia Coppola', ' Ross Katz', ' Francis Ford Coppola', ' Fred Roos', ' Lance Acord', ' Anne Ross', ' K.K. Barrett', ' Nancy Steiner']",English,American,red
257,Mr. Smith Goes to Washington,1939,96,94.0,Comedy,"comedy, drama",,English,,2h 5m,Frank Capra,['Frank Capra'],"['Lewis R. Foster', ' Sidney Buchman']","['James Stewart', ' Jean Arthur', ' Claude Rains', ' Edward Arnold', ' Guy Kibbee', ' Eugene Pallette', ' Beulah Bondi', ' H.B. Warner', ' Harry Carey', ' Frank Capra', ' Lewis R. Foster', ' Sidney Buchman', ' Frank Capra', ' Dimitri Tiomkin', ' Joseph Walker', ' Al Clark', ' Gene Havlick', ' Lionel Banks']",English,American,red
258,Amazing Grace,2018,99,80.0,Documentary,"music, documentary",G,English,$4.5M,1h 27m,Alan Elliott,"['Alan Elliott', ' Aretha Franklin', ' Jerry Wexler', ' Joe Boyd', ' Rob Johnson', ' Chiemi Karasawa', ' Sabrina V. Owens', ' Tirrell D. Whittley', ' Joseph Woolf']",,"['Aretha Franklin', ' Alan Elliott', ' Alan Elliott', ' Aretha Franklin', ' Jerry Wexler', ' Chiemi Karasawa', ' Joseph Woolf']",English,American,red
259,Kedi,2016,98,85.0,Documentary,documentary,,Turkish,$2.8M,1h 20m,Ceyda Torun,"['Ceyda Torun', ' Charlie Wuppermann']",,"['Ceyda Torun', ' Ceyda Torun', ' Charlie Wuppermann', ' Gregor Kewel', ' Thomas Podstawski', ' Alp Korfali', ' Charlie Wuppermann']",Turkish,Tamil,red
260,Taxi to the Dark Side,2007,100,90.0,Documentary,"crime, drama, war, documentary",R (Graphic Nudity|Disturbing Images|Content Involving Torture),English,$274.7K,1h 46m,Alex Gibney,"['Eva Orner', ' Susannah Shipman', ' Alex Gibney']",['Alex Gibney'],"['Alex Gibney', ' Brian Keith Allen', ' Jack Cloonan', "" Greg D'Agostino"", ' Moazzam Begg', ' Alex Gibney', ' Alex Gibney', ' Eva Orner', ' Susannah Shipman', ' Alex Gibney', ' Don Glascoff', ' Sidney Blumenthal', ' Jedd Wider', ' Todd Wider']",English,American,red
261,Inside Job,2010,98,91.0,Documentary,documentary,PG-13 (Some Sex-Related Material|Some Drug Material),English,$4.3M,1h 48m,Charles Ferguson,"['Charles Ferguson', ' Audrey Marrs']",['Charles Ferguson'],"['Matt Damon', ' Gylfi Zoega', ' Andri Snær Magnason', ' Sigridur Benediktsdottir', ' Paul Volcker', ' Dominique Strauss-Kahn', ' George Soros', ' Barney Frank', ' Charles Ferguson', ' Charles Ferguson', ' Charles Ferguson', ' Audrey Marrs', ' Jeffrey Lurie', ' Christina Weiss Lurie']",English,American,red
262,The Square,2013,100,90.0,Documentary,documentary,,Arabic,,1h 44m,Jehane Noujaim,['Karim Amer'],,"['Ahmed Hassan', ' Khalid Abdalla', ' Magdy Ashour', ' Ramy Essam', ' Aida El-Kashef', ' Ragia Omran', ' Jehane Noujaim', ' Karim Amer', ' Daniel E. Catullo', ' Gavin Dougan', ' Geralyn White Dreyfous', ' Maxyne Franklin', ' Muhammad Hamdy', ' Mohammed El Manasterly']",Arabic,Australian,red
263,Iris,2014,98,80.0,Documentary,"drama, history, documentary, biography",PG-13 (Some Strong Language),English,$1.3M,1h 23m,Albert Maysles,"['Jennifer Ash Rudick', ' Lara Coxson', ' Rebekah Maysles']",,"['Iris Apfel', ' Mickey Boardman', ' Linda Fargo', ' Tavi Gevinson', ' Carl Apfel', ' Albert Maysles', ' Jennifer Ash Rudick', ' Rebekah Maysles', ' Doreen Small', ' Albert Maysles', ' Nelson Walker III', ' Sean Price Williams', ' Paul Lovelace']",English,British,red
264,Spellbound,2002,97,83.0,Documentary,"comedy, mystery and thriller, documentary",G,English,$5.7M,1h 37m,Jeffrey Blitz,"['Jeffrey Blitz', ' Sean Welch']",['Jeffrey Blitz'],"['Paige Kimble', ' Jonathan Knisely', ' Balu Natarajan', ' Julianne Ruth', ' Jeffrey Blitz', ' Jeffrey Blitz', ' Jeffrey Blitz', ' Sean Welch']",English,American,red
265,The Fog of War,2003,96,93.0,Documentary,documentary,PG-13 (Thematic Issues),English,$4.2M,1h 45m,Errol Morris,"['Errol Morris', ' Michael Williams', ' Julie Ahlberg']",,"['Robert S. McNamara', ' Lyndon B. Johnson', ' Errol Morris', ' Errol Morris', ' Julie Ahlberg', ' Jack Lechner', ' Jon Kamen', ' Frank Scherma', ' Robert May', ' John Sloss']",English,American,red
266,Disclosure,2020,98,87.0,Documentary,documentary,,English,,1h 40m,Sam Feder,"['Sam Feder', ' Amy Scholder']",,"['Laverne Cox', ' Bianca Leigh', ' Jen Richards', ' Alexandra Billings', ' Susan Stryker', ' Yance Ford', ' Sam Feder', ' Laverne Cox', ' Charlotte Cook', ' Sam Feder', ' Amy Scholder', ' Stacy Goldate']",English,American,red
267,The Godfather,1972,97,98.0,Drama,"crime, drama",R,English,$134.8M,2h 57m,Francis Ford Coppola,['Albert S. Ruddy'],"['Francis Ford Coppola', ' Mario Puzo']","['Marlon Brando', ' Al Pacino', ' James Caan', ' Richard Castellano', ' Robert Duvall', ' Sterling Hayden', ' John Marley', ' Richard Conte', ' Diane Keaton', ' Al Lettieri', ' Francis Ford Coppola', ' Francis Ford Coppola', ' Mario Puzo', ' Mario Puzo', ' Gray Frederickson', ' Albert S. Ruddy', ' Nino Rota', ' Gordon Willis', ' Marc Laub', ' Barbara Marks']",English,American,red
268,A Star Is Born,2018,90,79.0,Drama,"romance, drama, music",R (Some Sexuality/Nudity|Language Throughout|Substance Abuse),English,$215.3M,2h 15m,Bradley Cooper,"['Bill Gerber', ' Jon Peters', ' Bradley Cooper', ' Todd Phillips', ' Lynette Howell Taylor']","['Eric Roth', ' Bradley Cooper', ' Will Fetters']","['Bradley Cooper', ' Lady Gaga', ' Sam Elliott', ' Andrew Dice Clay', ' Rafi Gavron', ' Anthony Ramos', ' Dave Chappelle', ' Alec Baldwin', ' Marlon Williams', ' Brandi Carlile', ' Bradley Cooper', ' Eric Roth', ' Bradley Cooper', ' Will Fetters', ' Bill Gerber', ' Jon Peters', ' Bradley Cooper', ' Todd Phillips', ' Lynette Howell Taylor']",English,American,red
269,Selma,2014,99,86.0,Drama,"drama, history",PG-13 (Brief Strong Language|A Suggestive Moment|Disturbing Thematic Material|Violence),English,$52.1M,2h 8m,Ava DuVernay,"['Christian Colson', ' Oprah Winfrey', ' Dede Gardner', ' Jeremy Kleiner']",['Paul Webb'],"['David Oyelowo', ' Tom Wilkinson', ' Carmen Ejogo', ' Giovanni Ribisi', ' Alessandro Nivola', ' Cuba Gooding Jr.', ' Tim Roth', ' Oprah Winfrey', ' Common', ' Lorraine Toussaint', ' Ava DuVernay', ' Paul Webb', ' Christian Colson', ' Oprah Winfrey', ' Dede Gardner', ' Jeremy Kleiner', ' Brad Pitt', ' Cameron McCracken', ' Nik Bower', ' Diarmuid McKeown']",English,British,red
270,The Shape of Water,2017,92,72.0,Drama,"romance, fantasy",R (Language|Graphic Nudity|Sexual Content|Violence),English,$63.3M,2h 3m,Guillermo del Toro,"['Guillermo del Toro', ' J. Miles Dale']","['Guillermo del Toro', ' Vanessa Taylor']","['Sally Hawkins', ' Michael Shannon', ' Richard Jenkins', ' Octavia Spencer', ' Michael Stuhlbarg', ' Doug Jones', ' David Hewlett', ' Nick Searcy', ' Stewart Arnott', ' Nigel Bennett', ' Guillermo del Toro', ' Guillermo del Toro', ' Guillermo del Toro', ' J. Miles Dale', ' Sidney Wolinsky', ' Alexandre Desplat', ' Paul Denham Austerberry']",English,American,red
271,Double Indemnity,1944,97,95.0,Drama,"crime, drama",,English,,1h 46m,Billy Wilder,,"['James M. Cain', ' Billy Wilder', ' Raymond Chandler']","['Fred MacMurray', ' Barbara Stanwyck', ' Edward G. Robinson', ' Porter Hall', ' Fortunio Bonanova', ' Jean Heather', ' Tom Powers', ' Byron Barr', ' Richard Gaines', ' John Philliber', ' Billy Wilder', ' James M. Cain', ' Billy Wilder', ' Raymond Chandler', ' Buddy G. DeSylva', ' John F. Seitz', ' Doane Harrison', ' Hans Dreier', ' Hal Pereira']",English,American,red
272,Boyhood,2014,97,80.0,Drama,drama,R (Sexual References|Language|Teen Drug and Alcohol Use),English,$25.4M,2h 45m,Richard Linklater,"['Richard Linklater', ' Cathleen Sutherland']",['Richard Linklater'],"['Ellar Coltrane', ' Patricia Arquette', ' Ethan Hawke', ' Lorelei Linklater', ' Tamara Jolaine', ' Nick Krause', ' Jordan Howard', ' Evie Thompson', ' Richard Linklater', ' Richard Linklater', ' Richard Linklater', ' Cathleen Sutherland', ' Jonathan Sehring', ' John Sloss', ' Lee Daniel', ' Shane Kelly', ' Rodney Becker', ' Sandra Adair']",English,American,red
273,12 Years a Slave,2013,95,90.0,Drama,"drama, history, biography",R (Some Nudity|Brief Sexuality|Violence/Cruelty),English,$56.7M,2h 14m,Steve McQueen,"['Brad Pitt', ' Dede Gardner', ' Jeremy Kleiner', ' Bill Pohlad', ' Steve McQueen', ' Arnon Milchan', ' Anthony Katagas']",['John Ridley'],"['Chiwetel Ejiofor', ' Michael Fassbender', ' Benedict Cumberbatch', ' Paul Dano', ' Garret Dillahunt', ' Paul Giamatti', ' Scoot McNairy', "" Lupita Nyong'o"", ' Adepero Oduye', ' Sarah Paulson', ' Steve McQueen', ' John Ridley', ' Brad Pitt', ' Dede Gardner', ' Jeremy Kleiner', ' Bill Pohlad', ' Steve McQueen', ' Arnon Milchan', ' Anthony Katagas', ' John Ridley']",English,American,red
274,Argo,2012,96,90.0,Drama,"mystery and thriller, drama, history",R (Some Violent Images|Language),English,$136.0M,2h,Ben Affleck,"['Grant Heslov', ' Ben Affleck', ' George Clooney']",['Chris Terrio'],"['Ben Affleck', ' Bryan Cranston', ' Alan Arkin', ' John Goodman', ' Victor Garber', ' Tate Donovan', ' Clea DuVall', ' Scoot McNairy', ' Rory Cochrane', ' Christopher Denham', ' Ben Affleck', ' Chris Terrio', ' Grant Heslov', ' Ben Affleck', ' George Clooney', ' David Klawans', ' Nina Wolarsky', ' Chris Brigham', ' Chay Carter', ' Graham King']",English,American,red
275,Alien,1979,98,94.0,Drama,"sci fi, horror",R,English,$81.1M,1h 57m,Ridley Scott,"['David Giler', ' Gordon Carroll']",,"['Tom Skerritt', ' Sigourney Weaver', ' John Hurt', ' Veronica Cartwright', ' Harry Dean Stanton', ' Ian Holm', ' Yaphet Kotto', ' Helen Horton', ' Ridley Scott', "" Dan O'Bannon"", ' Ronald Shusett', ' David Giler', ' Gordon Carroll', ' Ivor Powell', ' Ronald Shusett', ' Jerry Goldsmith', ' Derek Vanlint', ' Terry Rawlings']",English,American,red
276,Call Me by Your Name,2017,94,86.0,Drama,"gay and lesbian, drama, romance",R (Sexual Content|Nudity|Some Language),English,$18.0M,2h 12m,Luca Guadagnino,"['Peter Spears', ' Luca Guadagnino', ' Emilie Georges', ' Rodrigo Teixeira', ' Marco Morabito']","['James Ivory', ' Luca Guadagnino', ' Walter Fasano']","['Armie Hammer', ' Timothée Chalamet', ' Michael Stuhlbarg', ' Amira Casar', ' Esther Garrel', ' Victoire Du Bois', ' Vanda Capriolo', ' Elena Bucci', ' Luca Guadagnino', ' James Ivory', ' Luca Guadagnino', ' Walter Fasano', ' Peter Spears', ' Luca Guadagnino', ' Emilie Georges', ' Rodrigo Teixeira', ' Marco Morabito', ' James Ivory']",English,American,red
277,Gravity,2013,95,80.0,Drama,"mystery and thriller, drama, sci fi",PG-13 (Intense Perilous Sequences|Brief Strong Language|Some Disturbing Images),English,$274.1M,1h 31m,Alfonso Cuarón,"['Alfonso Cuarón', ' David Heyman']","['Alfonso Cuarón', ' Jonás Cuarón']","['Sandra Bullock', ' George Clooney', ' Ed Harris', ' Orto Ignatiussen', ' Phaldut Sharma', ' Amy Warren', ' Basher Savage', ' Alfonso Cuarón', ' Alfonso Cuarón', ' Alfonso Cuarón', ' David Heyman', ' David Heyman', ' Chris DeFaria', ' Nikki Penny', ' Emmanuel Lubezki']",English,American,red
278,The Maltese Falcon,1941,100,91.0,Drama,"crime, drama",,English,,1h 40m,John Huston,,"['Dashiell Hammett', ' John Huston']","['Humphrey Bogart', ' Mary Astor', ' Peter Lorre', ' Gladys George', ' Barton MacLane', ' Sydney Greenstreet', ' Lee Patrick', ' Ward Bond', ' Jerome Cowan', ' Elisha Cook Jr.', ' John Huston', ' Dashiell Hammett', ' John Huston', ' Hal B. Wallis', ' Adolph Deutsch', ' Arthur Edeson', ' Thomas Richards', ' Robert M. Haas']",English,American,red
279,The Florida Project,2017,96,80.0,Drama,drama,R (Language Throughout|Disturbing Behavior|Sexual References|Some Drug Material),English,$5.8M,1h 55m,Sean Baker,"['Sean Baker', ' Chris Bergoch', ' Shih-Ching Tsou', ' Andrew Duncan', ' Alex Saks', ' Kevin Chinoy', ' Francesca Silvestri']","['Sean Baker', ' Chris Bergoch']","['Willem Dafoe', ' Brooklynn Prince', ' Bria Vinaite', ' Valeria Cotto', ' Christopher Rivera', ' Caleb Landry Jones', ' Macon Blair', ' Karren Karagulian', ' Sandy Kane', ' Sean Baker', ' Sean Baker', ' Chris Bergoch', ' Sean Baker', ' Chris Bergoch', ' Shih-Ching Tsou', ' Andrew Duncan', ' Alex Saks', ' Kevin Chinoy', ' Francesca Silvestri']",English,American,red
280,Brooklyn,2015,97,87.0,Drama,"drama, history, romance",PG-13 (Brief Strong Language|A Scene of Sexuality),English (United Kingdom),$38.3M,1h 52m,John Crowley,"['Finola Dwyer', ' Amanda Posey']",['Nick Hornby'],"['Saoirse Ronan', ' Domhnall Gleeson', ' Emory Cohen', ' Jim Broadbent', ' Julie Walters', ' Eve Macklin', ' Bríd Brennan', ' Fiona Glascott', ' Jane Brennan', ' John Crowley', ' Nick Hornby', ' Finola Dwyer', ' Amanda Posey', ' Alan Moloney', ' Christine Langan', ' Thorsten Schumacher', ' Zygi Kamasa']",English (United Kingdom),British,red
281,The Wrestler,2008,98,88.0,Drama,drama,R (Nudity|Language|Sexuality|Some Drug Use|Violence),English,$26.2M,1h 50m,Darren Aronofsky,"['Scott Franklin', ' Darren Aronofsky']",['Robert Siegel'],"['Mickey Rourke', ' Marisa Tomei', ' Evan Rachel Wood', ' Mark Margolis', ' Todd Barry', ' Wass Stevens', ' Judah Friedlander', ' Ernest Miller', ' Darren Aronofsky', ' Robert Siegel', ' Scott Franklin', ' Darren Aronofsky', ' Vincent Maraval', ' Agnes Mentre', ' Jennifer Roth', ' Maryse Alberti', ' Andrew Weisblum', ' Clint Mansell']",English,American,red
282,"I, Tonya",2017,90,88.0,Drama,"comedy, drama, biography",R (Some Sexual Content/Nudity|Pervasive Language|Violence),English,$30.0M,2h 1m,Craig Gillespie,"['Bryan Unkeless', ' Steven Rogers', ' Margot Robbie', ' Tom Ackerley']",['Steven Rogers'],"['Margot Robbie', ' Sebastian Stan', ' Allison Janney', ' Julianne Nicholson', ' Paul Walter Hauser', ' Bobby Cannavale', ' Mckenna Grace', ' Caitlin Carver', ' Bojana Novakovic', ' Craig Gillespie', ' Steven Rogers', ' Bryan Unkeless', ' Steven Rogers', ' Margot Robbie', ' Tom Ackerley', ' Len Blavatnik', ' Aviv Giladi', ' Vince Holden', ' Toby Hill']",English,American,red
283,Taxi Driver,1976,96,93.0,Drama,drama,R,English,,1h 53m,Martin Scorsese,"['Julia Phillips', ' Michael Phillips']",['Paul Schrader'],"['Robert De Niro', ' Jodie Foster', ' Cybill Shepherd', ' Harvey Keitel', ' Victor Argo', ' Peter Boyle', ' Albert Brooks', ' Leonard Harris', ' Norman Matlock', ' Harry Northup', ' Martin Scorsese', ' Paul Schrader', ' Phillip M. Goldfarb', ' Julia Phillips', ' Bernard Herrmann', ' Michael Chapman', ' Marcia Lucas', ' Tom Rolf', ' Melvin Shapiro']",English,American,red
284,The Social Network,2010,96,86.0,Drama,"drama, biography",PG-13 (Language|Drug and Alcohol Use|Sexual Content),English,$96.9M,2h,David Fincher,"['Scott Rudin', ' Dana Brunetti', ' Michael De Luca', ' Ceán Chaffin']",['Aaron Sorkin'],"['Jesse Eisenberg', ' Andrew Garfield', ' Justin Timberlake', ' Armie Hammer', ' Max Minghella', ' Josh Pence', ' Brenda Song', ' Rashida Jones', ' John Getz', ' David Selby', ' David Fincher', ' Aaron Sorkin', ' Scott Rudin', ' Dana Brunetti', ' Michael De Luca', ' Ceán Chaffin', ' Kevin Spacey', ' Jeff Cronenweth', ' Donald Graham Burt', ' Angus Wall']",English,American,red
285,L.A. Confidential,1997,99,94.0,Drama,"crime, drama",R,English,$64.6M,2h 16m,Curtis Hanson,"['Michael Nathanson', ' Arnon Milchan', ' Curtis Hanson']","['Curtis Hanson', ' James Ellroy', ' Brian Helgeland']","['Kevin Spacey', ' Russell Crowe', ' Guy Pearce', ' James Cromwell', ' David Strathairn', ' Kim Basinger', ' Danny DeVito', ' Graham Beckel', ' Simon Baker-Denny', ' Matt McCoy', ' Curtis Hanson', ' Curtis Hanson', ' James Ellroy', ' Brian Helgeland', ' Dan Kolsrud', ' David L. Wolper', ' Michael Nathanson', ' Arnon Milchan', ' Curtis Hanson', ' Jerry Goldsmith']",English,American,red
286,Phantom Thread,2017,91,71.0,Drama,"drama, romance",R (Language),English,$20.9M,2h 10m,Paul Thomas Anderson,"['JoAnne Sellar', ' Paul Thomas Anderson', ' Megan Ellison', ' Daniel Lupi']",['Paul Thomas Anderson'],"['Daniel Day-Lewis', ' Vicky Krieps', ' Lesley Manville', ' Camilla Rutherford', ' Gina McKee', ' Brian Gleeson', ' Harriet Sansom Harris', ' Jane Perry', ' Paul Thomas Anderson', ' Paul Thomas Anderson', ' JoAnne Sellar', ' Paul Thomas Anderson', ' Megan Ellison', ' Daniel Lupi', ' Adam Somner', ' Peter Heslop', ' Chelsea Barnard', ' Dylan Tichenor']",English,American,red
287,Get Out,2017,98,86.0,Horror,"mystery and thriller, comedy, horror",R (Language|Bloody Images|Sexual References|Violence),English,$176.0M,1h 44m,Jordan Peele,"['Sean McKittrick', ' Jason Blum', ' Edward H. Hamm Jr.', ' Jordan Peele']",['Jordan Peele'],"['Daniel Kaluuya', ' Catherine Keener', ' Bradley Whitford', ' Caleb Landry Jones', ' Marcus Henderson', ' Betty Gabriel', ' Lakeith Stanfield', ' Stephen Root', ' Lil Rel Howery', ' Jordan Peele', ' Jordan Peele', ' Sean McKittrick', ' Jason Blum', ' Edward H. Hamm Jr.', ' Jordan Peele', ' Raymond Mansfield', ' Couper Samuelson', ' Shaun Redick', ' Jeanette Volturno']",English,American,red
288,It Follows,2014,95,66.0,Horror,"mystery and thriller, horror",R (Graphic Nudity|Disturbing Violent Content|Language|Sexual Content),English,$14.7M,1h 41m,David Robert Mitchell,"['Rebecca Green', ' Laura D. Smith', ' David Robert Mitchell', ' David Kaplan', ' Erik Rommesmo']",['David Robert Mitchell'],"['Maika Monroe', ' Keir Gilchrist', ' Daniel Zovatto', ' Jake Weary', ' Olivia Luccardi', ' Lili Sepe', ' Ruby Harris', ' Bailey Spry', ' Debbie Williams', ' David Robert Mitchell', ' David Robert Mitchell', ' Rebecca Green', ' Laura D. Smith', ' David Robert Mitchell', ' David Kaplan', ' Erik Rommesmo', ' Frederick W. Green', ' Joshua Astrachan', ' P. Jennifer Dana']",English,American,red
289,The Silence of the Lambs,1991,96,95.0,Horror,"mystery and thriller, crime, drama",R,English,$130.7M,1h 59m,Jonathan Demme,"['Ron Bozman', ' Edward Saxon', ' Kenneth Utt']",['Ted Tally'],"['Jodie Foster', ' Anthony Hopkins', ' Scott Glenn', ' Ted Levine', ' Anthony Heald', ' Brooke Smith', ' Diane Baker', ' Kasi Lemmons', ' Charles Napier', ' Roger Corman', ' Jonathan Demme', ' Thomas Harris', ' Ted Tally', ' Grace Blake', ' Ron Bozman', ' Gary Goetzman', ' Edward Saxon', ' Kenneth Utt', ' Howard Shore', ' Tak Fujimoto']",English,American,red
290,Halloween,1978,96,89.0,Horror,"mystery and thriller, horror, other",R,English,$47.5M,1h 31m,John Carpenter,"['Debra Hill', ' John Carpenter']","['Debra Hill', ' John Carpenter']","['Donald Pleasence', ' Jamie Lee Curtis', ' Nancy Loomis', ' P.J. Soles', ' Charles Cyphers', ' Brian Andrews', ' Arthur Malet', ' John Carpenter', ' Debra Hill', ' John Carpenter', ' Debra Hill', ' John Carpenter', ' Moustapha Akkad', ' Irwin Yablans', ' Kool Lusby', ' John Carpenter', ' John Carpenter']",English,American,red
291,Pan's Labyrinth,2006,95,91.0,Horror,"drama, war, fantasy",R (Some Language|Graphic Violence),Spanish (Spain),$37.6M,2h,Guillermo del Toro,"['Alfonso Cuarón', ' Bertha Navarro', ' Guillermo del Toro', ' Frida Torresblanco']",['Guillermo del Toro'],"['Maribel Verdú', ' Ivana Baquero', ' Doug Jones', ' Ariadna Gil', ' Federico Luppi', ' Roger Casamajor', ' Manolo Solo', ' Guillermo del Toro', ' Guillermo del Toro', ' Alfonso Cuarón', ' Bertha Navarro', ' Guillermo del Toro', ' Frida Torresblanco', ' Guillermo Navarro', ' Javier Navarrete', ' Bernat Vilaplana']",Spanish (Spain),American,red
292,The Witch,2015,90,59.0,Horror,"mystery and thriller, drama, history, horror",R (Graphic Nudity|Disturbing Violent Content),English,$25.1M,1h 32m,Robert Eggers,"['Jay Van Hoy', ' Lars Knudsen', ' Jodi Redmond', ' Daniel Bekerman', ' Rodrigo Teixeira']",['Robert Eggers'],"['Anya Taylor-Joy', ' Ralph Ineson', ' Kate Dickie', ' Harvey Scrimshaw', ' Ellie Grainger', ' Lucas Dawson', ' Bathsheba Garnett', ' Sarah Stephens', ' Julian Richings', ' Wahab Chaudhry', ' Robert Eggers', ' Robert Eggers', ' Jay Van Hoy', ' Lars Knudsen', ' Jodi Redmond', ' Daniel Bekerman', ' Rodrigo Teixeira', ' Sophie Mas', ' Michael Sackler']",English,American,orange
293,Don't Look Now,1973,95,76.0,Horror,mystery and thriller,R,English,,1h 50m,Nicolas Roeg,['Peter Katz'],"['Allan Scott', ' Chris Bryant']","['Julie Christie', ' Donald Sutherland', ' Hilary Mason', ' Clelia Matania', ' Massimo Serato', ' Renato Scarpa', ' Giorgio Trestini', ' Leopoldo Trieste', ' David Tree', ' Ann Rye', ' Nicolas Roeg', ' Peter Katz', ' Anthony B. Unger', ' Allan Scott', ' Anthony B. Richmond', ' Graeme Clifford']",English,British,red
294,It,2017,86,84.0,Horror,"mystery and thriller, horror",R (Language|Bloody Images|Violence/Horror),English,$327.5M,2h 15m,Andy Muschietti,"['Roy Lee', ' Dan Lin', ' Seth Grahame-Smith', ' David Katzenberg', ' Barbara Muschietti']","['Chase Palmer', ' Cary Fukunaga', ' Gary Dauberman']","['Jaeden Lieberher', ' Jeremy Ray Taylor', ' Sophia Lillis', ' Finn Wolfhard', ' Chosen Jacobs', ' Jack Dylan Grazer', ' Wyatt Oleff', ' Bill Skarsgård', ' Nicholas Hamilton', ' Jake Sim', ' Andy Muschietti', ' Chase Palmer', ' Cary Fukunaga', ' Gary Dauberman', ' Roy Lee', ' Dan Lin', ' Seth Grahame-Smith', ' David Katzenberg', ' Barbara Muschietti', ' Dave Neustadter']",English,American,red
295,The Birds,1963,95,83.0,Horror,mystery and thriller,PG-13,English,,1h 59m,Alfred Hitchcock,['Alfred Hitchcock'],['Evan Hunter'],"['Rod Taylor', ' Tippi Hedren', ' Suzanne Pleshette', ' Jessica Tandy', ' Veronica Cartwright', ' Ethel Griffies', ' Charles McGraw', ' Joe Mantell', ' Elizabeth Wilson', ' Doodles Weaver', ' Alfred Hitchcock', ' Evan Hunter', ' Alfred Hitchcock', ' Robert Burks', ' George Tomasini', ' Robert F. Boyle', ' Edith Head']",English,American,red
